NARI EXPANDED VOCABULARY
kurib = cable
benor = capable
tudat = careless
rufuz = cautious
mabek = ceaseless
nerad = cheerful
togit = classic
gega = conceal
ragad = curious
keruk = dangerous
noma = deal
desita = deceitful
biti = derive
setu = dive
fena = enable
envi = envious
paki = equal
gonug = fable
nupi = famous
surar = fearful
keso = final
meti = financial
fin = five
foko = forgive
bodeadj = formal
soza = fundamental
zake = funeral
mupi = garlic
pire = general
somub = generous
vuda = genetic
giv = give
zuzo = global
vola = handful
feta = helpful
zega = historic
vipaadj = historical
goma = homeless
hopaful = hopeful
lebel = hospital
riko = impossible
kolu = impressive
ture = incredible
lugi = individual
pasu = industrial
pusu = initial
tozo = initiative
bamu = institutional
rato = intellectual
bare = internal
pane = international
jelaemo = jealous
lezut = journal
nozeg = joyful
pideadj = legal
les = less
loya = loyal
majika = magic
mekana = mechanic
binos = medal
sorum = metal
muzikakon = music
zovof = natural
mulak = nervous
mosev = normal
fenoma = phenomenal
mubup = plastic
morim = previous
prinsa = principal
rivela = reveal
dutit = several
pibaz = sorrowful
stila = steal
surviva = survive
taba = table
kapas = thoughtful
dezit = thoughtless
rogak = unless
pinav = unnatural
talel = unusual
fafod = usual

=== ADVERBS ===

fagez = absolutely
defep = actually
admita = admittedly
vava = ally
liret = apparently
nino = apply
aproxma = approximately
argula = arguably
ofla = awfully
kegul = badly
betel = barely
bazika = basically
tafum = beautifully
zerug = broadly
memud = burly
marof = carefully
darep = certainly
rolim = chilly
klaria = clearly
zukub = closely
kesud = completely
kowada = cowardly
kegaf = cruelly
du = currently
setil = deeply
fevak = definitely
dreda = dreadfully
ear = early
repaz = easily
kazid = entirely
furos = especially
esenta = essentially
kalug = exactly
extrima = extremely
faira = fairly
remol = finally
vimun = firmly
dumag = freely
nazuv = frequently
nevi = friendly
nefir = fully
dadep = generally
kagur = gently
jenula = genuinely
rogu = gradually
besid = hardly
simol = harshly
zesiv = heavily
ponuadv = highly
viro = holy
diza = honestly
horba = horribly
pide = increasingly
inkredla = incredibly
pape = initially
insana = insanely
irona = ironically
pine = july
pebos = kindly
rili = largely
retef = lately
duzed = lightly
litera = literally
vuvuk = loosely
darof = loudly
maina = mainly
tadaz = merely
dizod = mildly
ruvan = mostly
bafog = narrowly
natura = naturally
pusom = nearly
norma = normally
obvia = obviously
ono = only
kifok = partially
tubas = partly
dodor = perfectly
fabot = poorly
bifep = possibly
dovar = probably
dovav = properly
pura = purely
pagop = quickly
beliz = quietly
ganof = rarely
real = really
nemor = recently
reliva = rely
ridika = ridiculously
tidal = roughly
vorat = scarcely
serioza = seriously
domuf = severely
kutus = shallowly
siniv = silently
vufek = simply
slita = slightly
levek = slowly
gipuk = smoothly
mubef = softly
spesika = specifically
befit = strictly
samor = strongly
bazap = suddenly
suposa = supposedly
surpa = surprisingly
tekna = technically
terba = terribly
graka = thankfully
ninit = thickly
dutif = thinly
dovof = tightly
nerom = totally
tizek = truly
tipika = typically
gakru = ugly
ultima = ultimately
unbelva = unbelievably
inforta = unfortunately
gunos = usually
vuvam = weakly
weirda = weirdly
rerag = wholly
purol = widely
wilda = wildly

=== ANIMALS ===

rifut = animal
bemo = bear
vori = bird
kato = cat
cow = cow
kano = dog
fis = fish
hosa = horse
logan = mouse
pig = pig

=== BODY ===

hartbit = heart beat

=== BODY ADDITIONS ===

maslurt = appetite
forsuth = bladder
kardemz = hormone
posdram = intestine
nanlarv = ligament
jimmir = pulse
olni = skull
drenu = tendon

=== BODY AND HEALTH ===

alerga = allergy
herris = ankle
jondos = arm
ampita = armpit
banda = bandage
berda = beard
hefal = blood
fomta = bone
sebrur = brain
bumbes = breath
kalfa = calf
slirdro = cheek
bifur = chest
hilbrun = chin
klinika = clinic
kodasik = cold illness
kofa = cough
ponin = ear
bredror = elbow
browa = eyebrow
lasha = eyelash
lida = eyelid
fevra = fever
fingela = fingernail
foram = forearm
forha = forehead
dramlon = headache
hela = heel
hipa = hip
irisa = iris
jawa = jaw
kidna = kidney
nukla = knuckle
thusti = lip
livera = liver
veko = lung
medina = medicine
medinapil = medicine pill
muzen = mouth
raldrem = muscle
musta = mustache
slupu = neck
nerva = nerve
heros = nose
nosra = nostril
orga = organ
pimhun = palm
farma = pharmacy
pupila = pupil
riba = rib
brelnel = shoulder
slozi = skin
solafoot = sole
spinabod = spine
dronhur = stomach
thaia = thigh
varzon = throat
elta = thumb
hesdi = toe
tonela = toenail
zofe = tongue
vubu = tooth
upam = upper arm
vena = vein
benvis = waist
zuko = wound
rista = wrist

=== CITY AND PLACES ===

larbrur = courthouse
rammile = intersection
slirpiz = neighborhood
thaltad = playground
husslis = sidewalk
nare = subway
udres = tower
pozalhi = warehouse

=== CLOTHING ===

rainjak = rain jacket
solgala = sun glasses

=== CLOTHING AND PERSONAL ITEMS ===

vildu = blouse
lamur = boot
zurra = hat
kebil = jeans
suszurf = pajamas
jemthum = pocket
paker = shorts
umbes = skirt
fefasto = sneaker
moha = suit
hulmold = swimsuit

=== COLORS ===

amba = amber
akwa = aqua
beja = beige
naru = black
sanu = blue
hiher = bright
bronza = bronze
brona = brown
charko = charcoal
kolo = color
kopra = copper
kora = coral
krema = cream
krima = crimson
sian = cyan
zola = gold
gora = gray
mira = green
inda = indigo
ivora = ivory
lavena = lavender
lima = lime
magena = magenta
maru = maroon
navi = navy
oliva = olive
oran = orange
golbum = pale
pinacol = pink
puracol = purple
ruba = red
skara = scarlet
sivamet = silver
tana = tan
tilacol = teal
turka = turquoise
viola = violet
vela = white
yelacol = yellow

=== COMMON ACTIONS EXPANDED ===

gubu = clap
ossu = dial
dirpir = dip
usas = fry
pavas = greet
gisbrav = imagine
tirfanz = inspect
bubal = nod
porren = peel
fetar = pour
lurrirp = recycle
delma = remind
felu = rinse
tirran = rub
fusul = scan
fomdreg = scratch
foszam = select
kesjoda = separate
tilfesg = squeeze
fejun = stir
zonpes = tap
draldis = taste
bamis = toss
zebrir = unlock
kesjul = unpack
sospom = wipe

=== COMMON LIFE ADDITIONS ===

banultu = absence
rejii = achievement
parbabr = advertisement
tondarl = allowance
kimboda = appearance
slosfos = appliance
amhemdis = application
hordosb = approval
zenkute = arrival
votelu = background
ponren = backup
fuhispo = boundary
bradoll = candidate
thuthon = ceremony
malslav = charity
umemthin = childhood
brumpod = circumstance
pargubr = collection
tarreth = combination
jorposl = competition
drespol = concentration
belbrom = conclusion
luthiru = conference
draziso = confusion
fanmumk = connection
sengaru = consequence
tharvol = construction
bamsazo = contribution
samensa = cooperation
bokimar = criticism
renmase = definition
votusno = delivery
zaginpa = departure
takanse = description
rupul = device
desthib = difficulty
gosvame = disaster
hegupi = discovery
mempajo = distribution
famhi = editor
fonthil = efficiency
brobene = emergency
kimdrie = employer
bamtusl = equipment
himvija = expression
lemtamz = feedback
jekukel = guidance
draltho = imagination
drurror = inspection
kolebra = maintenance
jurliir = membership
theslor = negotiation
rorslan = obligation
ginedol = opportunity
ganfika = partnership
lavanva = performance
brevase = personality
slugomd = possession
slebrir = preference
nuntoro = preparation
dradrem = presentation
murirdu = priority
slennet = procedure
besimhe = profession
brispir = protection
slonolk = recommendation
devenfi = reference
sleslin = replacement
azipin = requirement
thelenj = reservation
gordrun = satisfaction
jalthun = selection
slavenk = statement
natorlu = subscription
goelo = suggestion
kevabis = temperature
dilzard = tradition
delbaza = transaction
tumtozu = transportation
kinbimb = variation
messlas = version
joldemb = weakness

=== COMMON QUALITIES EXPANDED ===

limbe = bland
tinake = central
themhim = cheap
semslel = crowded
zadosli = distant
julti = dusty
semear = electric
hamhen = fancy
girbrer = flexible
ilfesdre = grateful
pastis = hollow
slinti = noisy
banthe = polite
tombras = powerful
thages = rainy
pesbarh = regular
sirham = shiny
punda = silent
thadrim = sticky
selfung = visible
pombrur = weekly
usbri = wooden

=== COMMON VERBS ===

anisa = answer
asu = ask
buna = build
baya = buy
kala = call
kloa = close
dai = die
dora = do
fina = find
fira = fix
gava = get
hata = hate
jona = join
luma = learn
leva = leave
liri = like
liva = live
luka = look
losa = lose
loma = love
maka = make
neda = need
opa = open
paya = pay
pali = play
sai = say
sena = see
sela = sell
sira = start
soto = stop
suma = study
naka = take
tava = teach
tela = tell
tira = try
uza = use
wena = want
wata = watch
wina = win
vora = work

=== COMMUNICATION ===

brolze = accent
sabreke = apology
nuordus = explanation
menpuja = grammar
thakane = invitation
laalfe = opinion
drozem = reply
lilezen = request
lanbeml = translation
tosdido = warning

=== CORE GRAMMAR ===

odul = area
dosje = body
ibran = both
buzin = by
zeru = case
bomjul = clean
koorsle = condition
renjin = cook
brobus = could
murji = course
lubu = create
banadan = current
hallor = daily
peja = dance
sluhon = dark
duslus = date
slife = deep
hega = design
vunsem = detail
isfamim = difficult
nergis = drive
pispul = each
hirdrur = earth
zonnum = east
sirku = edge
venlarf = education
slido = either
jaski = else
dethar = energy
berthu = ever
jomdrel = example
rolten = farm
zohu = free
mubicor = goal
zelkor = group
hamnen = health
baus = home
kifalzi = husband
ensu = kid
tita = kind
fundu = letter
suja = light
slerza = likely
brusu = line
tildru = list
reslu = listen
ambul = local
nee = lot
nuvi = main
astol = manage
tovul = matter
passun = mean
tiulrom = measure
valocor = meet
zozis = member
fimlo = memory
usmulhe = mention
jararso = message
kumtha = middle
slibrol = might
dudral = mind
zosji = miss
lehe = model
lames = modern
rires = money
drimjom = mother
simdu = move
bizar = movie
bobin = name
vubas = nation
henra = nice
jomtha = north
levan = note
ikin = notice
themfos = office
dramvu = oil
janhenp = outside
thembun = own
silbru = page
jandos = pain
joslin = parent
tulramb = particular
nortul = pass
garsle = per
nabempi = perfect
senicor = pick
timnumd = picture
nosla = place
birer = plan
kibres = police
drargoh = position
mumdrun = possible
vomzomz = practice
uldripan = president
bizamja = private
tasermu = product
firfube = program
brulnes = property
thunind = protect
semas = public
tanthab = purpose
slisas = put
ranbra = race
dalslen = radio
tassul = range
meo = rate
rilso = ready
rorku = real
nedrums = receive
bralri = recent
draa = record
vusol = report
dovunlo = research
drorme = rest
giltar = rich
isbru = right
slivu = rise
breslul = risk
vusin = rule
sedra = run
dunda = safe
bralbi = school
gumvo = seat
pustheh = section
melzan = seem
silmis = send
zoma = serve
bronjus = set
rodri = show
bisgor = side
koldeth = similar
vanlur = simple
drahar = sing
loldam = sister
fardrul = sit
foman = site
nuri = skill
sami = social
mokan = son
felfer = song
nesju = sound
onkas = south
drubras = special
drishir = specific
ralmim = speech
slasni = spend
donhe = stand
sekemle = standard
dusfi = state
vepor = stay
karvisl = strategy
abus = sure
slunu = talk
bitha = task
jifelfa = technology
eljan = term
jipa = than
kosbo = thank
slusgel = the
hahus = them
lalpam = thing
kilslul = thought
vosbrul = threat
jorpa = total
jisfal = trade
zuldrur = travel
nusvul = treat
pulbres = true
zampemi = understand
sursen = unit
slanfal = up
lonam = us
zetunzo = various
brosi = view
bretim = visit
julpel = way
kumdin = weight
gisla = west
jalbasl = whatever
brurols = whether
deki = wide
mismom = wife
sirjur = will
driskin = wish
manfar = would
brafal = wrong
kepas = young

=== CORE NOUNS (A-E) ===

nilu = AM
dokez = American
banir = abandon
ab = about
fevut = above
sopeb = absent
bonom = absolute
vaticor = absorb
kires = abstract
donam = absurd
putap = abundant
pasa = abuse
fakig = accept
zubip = access
zirin = accident
liki = accommodate
selel = accompany
lemub = accomplish
zozig = account
sezo = accumulate
vegof = accurate
zimur = accuse
koret = achieve
napa = acknowledge
sedas = acquire
guror = across
fido = act
tudo = adapt
zoso = add
fekev = address
tafok = adept
pokek = adequate
pited = adjust
tumuz = admire
pupa = admit
dovacor = adopt
vove = adult
radiv = advantage
porez = adventure
vumur = advice
valol = advise
mami = advocate
gikat = affair
vibuk = affect
dimip = afford
borub = afraid
aft = afternoon
agai = again
lebov = against
pedu = age
nonek = agency
kesu = agent
gefu = ago
fimo = agree
bori = ahead
doni = aid
ranu = aim
dufo = air
melan = aircraft
leses = airline
avion = airplane
piku = album
depef = alcohol
ramef = alien
ala = all
gaki = allow
kuteb = almost
sula = alone
soro = along
alred = already
alsa = also
libaf = although
ravit = always
kirel = among
zosit = amount
lagel = ample
gipum = analysis
furar = analyst
tebiz = analyze
bebop = ancient
e = and
anja = angel
bume = angle
tedu = angry
bimaz = anniversary
doriz = announce
gogen = anticipate
laziv = anxiety
ani = any
bunad = anybody
goziv = anyhow
keval = anymore
finop = anyone
lofig = anyway
bukov = anywhere
dezam = apart
bovi = apologize
vupev = apparent
kali = appear
napi = appoint
fari = appreciate
pezu = approach
tarer = appropriate
faricor = approve
gupop = april
dega = argue
zivu = arise
sasen = around
kazi = arrange
rumacor = arrest
lufez = arrogant
artakon = art
asa = as
bafe = ash
mofo = assess
kafu = assign
fenu = assume
mesa = assure
astropa = asteroid
astro = astronaut
ata = at
siru = attach
pinu = attack
vami = attempt
fape = attend
puva = attract
odio = audio
nokig = august
foter = autumn
avalan = avalanche
luleg = average
avo = avocado
zadu = avoid
vasib = awake
bugad = award
nikum = aware
teso = away
lobib = awesome
serep = awkward
axa = axe
sukel = babyish
vusu = back
serek = backpack
bada = bad
bago = bag
zesig = baggage
daki = bake
zuzod = bakery
vezu = bang
besocor = bank
mamicor = bare
fepos = barren
kodu = base
basabal = baseball
fibus = basket
baskabal = basketball
lafa = bathe
malom = battery
nolop = battle
be = be
binu = beam
binahat = beanie
bina = beans
todo = beat
beka = because
bega = become
bef = before
miso = beg
suti = begin
dape = behave
tunob = behind
toko = believe
bela = belong
talor = below
tiru = belt
geri = bend
midag = beneath
biko = benefit
lasev = beside
nerig = besides
deluv = best
gadu = bet
kasi = betray
bit = between
gotop = beyond
bike = bicycle
bi = big
rolu = bill
golu = bind
voku = bite
fosek = bizarre
blakaber = blackberry
laro = blame
popuv = blank
like = blend
terez = blind
luvo = blink
bliza = blizzard
pireb = block
debev = blonde
nigup = bloody
kuke = blow
bluber = blueberry
boda = board
mapo = boast
divi = boil
rerad = bold
bogi = bolt
bolta = bolts
gadi = bomb
buka = book
maza = boom
lipi = boost
butawear = boots
muli = bore
pavu = borrow
gadon = bossy
nopit = bottle
luri = bounce
milad = bouncy
funo = bow
lado = bowl
boko = box
brasa = bracelet
tevo = brake
tobo = branch
zemis = brave
kodacor = break
tupa = breathe
misud = breeze
netiv = breezy
divim = brief
fogut = brilliant
bateb = broad
tula = broadcast
broko = broccoli
detur = broken
bruma = broom
mekud = brush
buketa = bucket
dolo = bulb
butod = bumpy
navar = bunch
riru = burn
burpa = burp
feva = burst
sovacor = bury
dozu = bust
pavan = busy
bat = but
kaba = cabbage
kafe = cafe
leda = calculate
saza = camp
kan = can
tote = cancel
zetav = candid
dirof = capsule
sivu = capture
guki = card
pezi = care
karo = carrot
foru = carry
valo = carve
lepa = cash
mame = cast
pigu = catch
safu = cause
nizi = celebrate
gipev = century
bazuk = certain
chara = chair
nati = challenge
tezuv = champion
muze = change
vati = characterize
suko = chase
kafucor = chat
reno = cheat
dokacor = check
chefa = chef
cheri = cherry
page = chew
kidicor = children
dunub = chill
gemu = choose
bami = chop
sodot = chubby
gapol = chunk
churka = church
sinema = cinema
letiv = civil
feno = claim
doso = clarify
pinil = class
panan = clay
kira = clear
luzil = cliff
bafa = climb
fidik = cloth
todaz = clothes
filuz = cloudy
klautu = clout
tazem = club
polib = clumsy
tuluf = coach
bedo = coat
koko = coconut
degu = coin
koda = cold
vunu = collapse
kubu = collect
kodi = comb
motu = combine
la = come
komacor = comet
depe = comfort
pidecor = command
zago = commit
tiviv = common
sogu = communicate
ganor = company
beni = compare
zanir = compass
veta = compete
vobe = complain
zosu = complete
vesa = complicate
kosi = compose
kazocor = comprise
kanocor = compromise
tabu = concentrate
pova = concept
fosi = concern
zobe = conclude
limo = condemn
noga = conduct
gisi = confess
kava = confirm
gefip = conflict
vore = confront
tabe = confuse
bagocor = connect
dola = consent
doti = construct
tafo = consume
ravu = contact
miza = contain
soba = contend
nesu = continue
mumud = contract
giru = contrast
buvu = contribute
siri = control
gaba = convert
tore = convey
faze = convince
gakez = cool
gane = cooperate
doki = coordinate
rile = cope
bopi = copy
korna = corn
nusa = correct
rore = correlate
gobe = cost
raru = counsel
kunug = count
sugek = country
krab = crab
sonu = crack
tuzo = crash
rosa = crawl
visu = credit
diru = creep
dali = criticize
zopu = cross
kro = crow
gafob = crowd
puru = crush
pago = cry
kultura = culture
mano = cup
zebi = cure
savu = curl
tami = curve
geti = cut
matu = cycle
diso = damage
robut = damp
peficor3 = dare
gigo = dash
deta = death
linuv = debate
zuku = debt
vupad = decade
zemi = decay
budu = decide
name = declare
butu = decline
mala = decorate
sole = decrease
nura = dedicate
dano = defeat
sope = defend
vopi = define
nuzi = delay
bama = delete
zopo = demand
dema = demon
lufu = demonstrate
dizi = deny
nafu = depart
rege = depend
ponu = depict
gori = depress
pure = describe
kiran = desert
pose = deserve
fadu = desire
susucor = desk
zole = destroy
tapo = detect
vase = determine
kudu = develop
vufu = devise
vufa = devote
mevil = dew
demom = diary
dumu = dictate
doraa = did
dif = different
kone = dig
goge = digest
petu = diminish
nibocor = direct
zivez = dirty
nele = disagree
kaza = disappear
mine = disappoint
lusa = disapprove
luse = discard
tivo = discharge
pusucor = disclose
topo = disconnect
fogud = discount
sefo = discuss
nerop = disease
lirad = dishonest
simi = dismiss
teka = display
solocor = dispose
mupek = dispute
mude = dissolve
gupo = distinguish
bulo = distort
defe = distract
lomu = distribute
ruze = disturb
pegi = divide
rezo = divorce
dolfa = dolphin
zipa = dominate
rome = donate
fokes = double
raro = doubt
dova = dove
tove = draft
dumicor = drag
draga = dragon
dobe = drain
lufa = draw
bosi = dream
mume = dress
mogicor = drift
bamacor = drill
modi = drip
momi = drop
zakun = drought
rudu = drown
vumi = drug
fupet = dry
zose = dump
zupo = dust
bafo = duty
dwafa = dwarf
igla = eagle
zipu = earn
iraring = earrings
birak = earthquake
tosi = ease
taga = echo
eklisa = eclipse
more = edit
dupo = educate
debi = effect
efforta = effort
et = eight
rirucor = elect
elfa = elf
pegacor = eliminate
elfai = elves
seso = embrace
dolu = emerge
bisu = emphasize
rite = employ
tezag = empty
bezo = enclose
rado = encourage
zape = end
miga = endorse
dule = endure
fosu = enforce
sovi = engage
kebe = enjoy
mezo = enlarge
miges = enough
tavi = ensure
teto = entertain
kuki = enthusiasm
vanu = entitle
poge = envelope
mupo = equip
potu = equivalent
gisicor = erase
rige = escape
siza = establish
lime = estimate
fono = evaluate
famug = even
govil = event
eva = every
evali = everybody
evalicor = everyone
evr = everywhere
rubi = evolve
mila = exact
vofi = examine
peno = exchange
kima = excite
toto = exclude
nemu = excuse
pubi = execute
kubaz = exercise
saga = exhaust
legi = exhibit
bero = expand
zame = expect
topa = expert
nule = explain
pifi = explode
nutu = explore
lase = export
kamu = expose
meba = express
zune = extend
ginu = extra
kigu = extract
vusa = extreme
guzi = eye

=== CORE NOUNS (F-J) ===

bano = German
beso = God
mi = I
bige = Iraqi
zota = Irish
rolo = Israeli
fare = Japanese
foga = Jew
pado = Jewish
zavu = face
vonu = fact
mosez = factory
kepa = fail
sigu = failure
tudu = fair
fara = fairy
dava = faith
zazim = fake
falko = falcon
dodi = fall
duzib = false
kuve = familiar
pubup = famine
duvo = fan
sezocor = fantasy
kafap = far
farta = fart
vusecor = fashion
fasa = fast
kevi = fat
memo = fate
rilo = fault
manu = favorite
simo = fear
tiki = feature
nifiz = february
pala = fee
tedo = feel
petoi = feet
raza = fellow
pagi = female
fewa = few
nuzel = field
sidu = fierce
gozur = fight
pode = figure
peka = fill
tida = film
foke = fine
raba = finish
koso = firm
silez = first
saficor = fit
vibo = flag
getik = flame
flami = flamingo
tode = flash
lizo = flat
zako = flee
nere = flesh
zogon = flight
teba = float
nakag = flock
rofes = flood
peku = flow
poro = focus
muson = fog
suticor = fold
palo = folk
tite = follow
peto = foot
redi = football
fasi = force
potacor = foreign
peko = forget
papo = fork
fete = form
gudo = format
fusi = formula
feled = forth
zumu = fortune
mili = forward
lifu = found
for = four
rodu = frame
buge = framework
pekucor = freedom
mubi = freeze
turacor = frequency
lefa = frequent
rarok = fridge
vito = friendship
vode = frighten
gana = frog
fram = from
maku = front
dotod = frost
frona = frown
popa = frustrate
zezocor = fuel
gadip = full
tase = fun
simu = fund
bilu = funny
togo = furniture
nitel = future
liricor = gain
kanicor = galaxy
nifi = gallery
gama = game
moma = gang
lumi = gap
furi = garage
burav = garden
pofok = gas
nedo = gate
roku = gay
kori = gaze
sevu = gear
vezo = gene
pefo = generate
sipe = gentleman
fagov = genuine
tede = gesture
mafa = ghost
sofe = giant
togi = gift
mudi = girlfriend
teni = given
kazev = glad
gala = glass
glasa = glasses
fifom = glove
glova = gloves
glua = glue
ko = go
gobla = goblin
lipicor = golden
gifa = golf
guda = good
bai = goodbye
silip = gossip
lilu = grab
litu = grade
luda = graduate
kivo = grain
mozo = grand
ruka = grant
grapa = grape
grapafrut = grapefruit
bobo = grave
vapuv = great
lepi = greatest
vepog = greedy
falen = grocery
kobo = ground
gogu = grow
muto = growth
rule = guarantee
nemo = guard
kosu = guess
sozacor = guest
dafi = guide
sobu = guideline
sego = guilty
tigi = gun
guma = gym
jima = gymnastics
mapocor = habit
peki = habitat
sibu = hair
vukok = half
tetu = hall
vukoki = halves
gino = hand
pemo = handle
gakim = handsome
lemacor = hang
mife = happen
hapi = happy
hara = hard
sucor = has
su = have
hoka = hawk
lih = he
nufi = head
pise = headline
hedfons = headphones
nazu = headquarters
koro = hear
nepi = heart
nobef = heat
suvu = heaven
fumos = heavy
helawear = heels
pazu = height
hei = hello
hel = help
zupuz = herd
hir = here
mizu = heritage
gebi = hero
nale = herself
haj = hi
hikupa = hiccup
dide = hide
birum = high
hika = highkey
dake = highlight
dofa = highway
bupu = him
gako = himself
luko = hire
niliz = history
kobi = hit
hoatol = hoe
beta = hold
zomi = hole
bopev = holiday
gupu = honey
huda = hoodie
gate = hope
rebu = horizon
dome = host
hosta = hostile
hota = hot
vuvo = hotel
dom = house
liso = household
hou = how
bukud = huge
mamo = human
humba = humble
muvez = humid
turo = hungry
sibas = hurricane
vepi = hurt
mofa = ice
ida = idea
iva = if
ignora = ignore
fuzen = ill
imaja = image
gete = import
imp = important
susu = impose
zoko = impress
topu = improve
al = in
pizacor = incident
bafu = include
gikod = income
fipi = incorporate
nima = increase
finacor = independent
voso = index
nibo = indicate
mukuz = indifferent
natat = industry
kefo = infant
rone = inform
suli = ingredient
tuvi = injury
roni = innocent
kogu = inquiry
fenas = insecure
pugi = inside
bibi = insight
teve = inspire
nero = install
zoken = instead
susa = intend
selu = intense
maro = interest
vama = interpret
sova = interview
dizicor = into
nobu = introduce
line = invest
fofo = investigate
deri = invite
pukem = invoice
dabe = involve
ziro = iron
vifa = island
betu = issue
lit = it
zezo = item
faki = itself
bokaz = jacket
modo = jail
pamek = january
jela = jellyfish
nuli = jet
pope = job
puge = joint
pili = joke
fadon = journey
joa = joy
fefi = judge
sazi = juice
kipu = jump
poki = june
gimed = jungle
vizi = jury
gafil = just
kako = justice
kodo = justify

=== CORE NOUNS (K-O) ===

raki = Latin
kanga = kangaroo
baru = keep
kiva = key
vekuk = keyboard
mefi = kick
kage = kill
kinda = kinda
zaba = kiss
rise = kitchen
kiwi = kiwi
zanu = knee
mokos = knife
mokosi = knives
sori = knock
ni = know
dabi = knowledge
koal = koala
getu = lab
bafi = label
sebo = laboratory
pefi = lack
dane = lady
lampa = lamp
peficor = land
gonu = landscape
lobe = language
geka = lap
nobim = large
novo = last
gitu = late
posi = laugh
luke = launch
sopi = law
sofi = lawn
moku = lawsuit
toze = lay
kope = lead
puno = leadership
titog = league
zufi = lean
navad = lease
lest = least
ziroi = leaves
kufo = left
vefe = leg
vuso = legacy
ronip = legend
lema = lemon
lenta = lentils
jova = let
letu = lettuce
levela = level
libra = library
mosi = lie
lifa = life
giker = liquid
sovub = little
lifi = lives
meri = loan
redad = long
dupa = loss
gemom = low
loka = lowkey
befal = luggage
lagov = mad
magnifa = magnificent
vebu = mall
mango = mango
multi = many
kaka = map
toduz = march
mara = market
zokeg = match
dala = math
meya = may
rorap = maybe
mia = me
netup = meadow
mani = men
mera ma = mermaid
methoda = method
logani = mice
mika = microphone
mikra = microwave
lutib = midnight
movom = mill
dedud = millennium
miztaka = mistake
mitacor = mittens
tazup = mob
moda = modem
modaemo = modest
mopa = mop
mor = more
moreb = mortgage
mos = most
mauspad = mousepad
bido = much
rima = mud
litez = multiple
muza = museum
musha = mushroom
musu = must
zasa = myself
refag = mystery
ligo = myth
nailahard = nails
ne = near
nebu = nebula
nekles = necklace
zukam = needle
niva = new
mefe = news
tezi = next
nin = nine
nu = no
zibi = noon
na = not
lubok = notebook
nau = now
noh = nowhere
madet = nurse
nutahard = nuts
okta = octopus
susip = odd
ov = of
ofa = off
zigup = often
oya = okay
oda = old
ona = on
nola = once
uncor = one
onia = onion
mose = onto
orba = orbit
ostra = ostrich
pokaz = others
sepu = ourselves
tuvicor = oven
ola = owl

=== CORE NOUNS (P-T) ===

danaz = pack
paso = pan
rodud = pants
papacor = papaya
nirug = park
paro = parrot
buvib = part
mevim = party
lanaf = passport
zami = past
dosif = pasture
